Omar Al-Ali, 1995-01-07, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Pedersen, 1971-01-11, AKTIV, MOTIONIST, SENIOR
Susanne Jensen, 2008-11-05, AKTIV, KONKURRENCESVØMMER, JUNIOR
Susanne Christensen, 1990-11-08, AKTIV, KONKURRENCESVØMMER, SENIOR
Helle Hansen, 1976-10-11, AKTIV, MOTIONIST, SENIOR
Thomas Nielsen, 1980-01-24, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Andersen, 1988-04-20, AKTIV, MOTIONIST, SENIOR
Henrik Jørgensen, 1995-02-18, PASSIV, MOTIONIST, SENIOR
Anna Jørgensen, 2008-11-08, AKTIV, MOTIONIST, JUNIOR
Michael Rasmussen, 1989-06-03, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Christensen, 1986-03-27, PASSIV, MOTIONIST, SENIOR
Henrik Nielsen, 2008-06-20, PASSIV, KONKURRENCESVØMMER, JUNIOR
Christian Sørensen, 1986-05-21, PASSIV, MOTIONIST, SENIOR
Susanne Christensen, 1975-01-28, PASSIV, MOTIONIST, SENIOR
Maria Jørgensen, 1977-08-13, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Larsen, 2006-06-19, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Pedersen, 1980-12-14, AKTIV, KONKURRENCESVØMMER, SENIOR
Thomas Andersen, 1992-12-19, PASSIV, MOTIONIST, SENIOR
Susanne Christensen, 2003-03-25, PASSIV, KONKURRENCESVØMMER, SENIOR
Michael Nielsen, 2001-01-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Hansen, 2000-03-11, AKTIV, MOTIONIST, SENIOR
Thomas Hansen, 1989-06-23, PASSIV, MOTIONIST, SENIOR
Anna Rasmussen, 2002-10-23, PASSIV, MOTIONIST, SENIOR
Helle Hansen, 1989-01-14, AKTIV, MOTIONIST, SENIOR
Anne Jensen, 2008-11-23, AKTIV, KONKURRENCESVØMMER, JUNIOR
Henrik Larsen, 1972-12-02, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Hansen, 1993-07-15, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Nielsen, 2002-03-25, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Jensen, 1997-06-29, AKTIV, MOTIONIST, SENIOR
Christian Rasmussen, 2013-08-13, PASSIV, MOTIONIST, JUNIOR
Henrik Rasmussen, 1973-11-01, PASSIV, MOTIONIST, SENIOR
Peter Christensen, 1982-04-26, AKTIV, MOTIONIST, SENIOR
Lars Nielsen, 1997-12-23, AKTIV, MOTIONIST, SENIOR
Niels Larsen, 2012-03-20, PASSIV, MOTIONIST, JUNIOR
Susanne Jørgensen, 1995-09-06, AKTIV, MOTIONIST, SENIOR
Susanne Rasmussen, 1996-12-24, PASSIV, KONKURRENCESVØMMER, SENIOR
Michael Andersen, 2000-01-04, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Nielsen, 1980-02-01, AKTIV, MOTIONIST, SENIOR
Jens Christensen, 1975-07-24, PASSIV, MOTIONIST, SENIOR
Susanne Nielsen, 2006-02-28, PASSIV, MOTIONIST, SENIOR
Christian Hansen, 2008-09-16, AKTIV, KONKURRENCESVØMMER, JUNIOR
Peter Andersen, 1992-03-06, PASSIV, KONKURRENCESVØMMER, SENIOR
Hanne Christensen, 1977-10-06, PASSIV, MOTIONIST, SENIOR
Anna Hansen, 1998-07-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Jørgensen, 1972-10-25, PASSIV, KONKURRENCESVØMMER, SENIOR
Marianne Christensen, 1975-10-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Hansen, 1998-09-05, PASSIV, MOTIONIST, SENIOR
Kirsten Pedersen, 1988-01-04, PASSIV, KONKURRENCESVØMMER, SENIOR
Marianne Andersen, 1970-11-26, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Sørensen, 1976-04-03, AKTIV, KONKURRENCESVØMMER, SENIOR
Mette Jensen, 1980-10-18, PASSIV, KONKURRENCESVØMMER, SENIOR
Maria Jørgensen, 1994-12-10, PASSIV, MOTIONIST, SENIOR
Jan Pedersen, 1977-03-06, AKTIV, MOTIONIST, SENIOR
Anna Jørgensen, 1997-03-24, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Hansen, 1995-07-12, AKTIV, MOTIONIST, SENIOR
Henrik Jensen, 1996-07-04, AKTIV, MOTIONIST, SENIOR
Lars Christensen, 2008-12-24, PASSIV, KONKURRENCESVØMMER, JUNIOR
Lars Jensen, 1986-02-01, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Rasmussen, 2011-09-19, AKTIV, KONKURRENCESVØMMER, JUNIOR
Lene Christensen, 1980-12-16, PASSIV, KONKURRENCESVØMMER, SENIOR
Marianne Jensen, 2012-02-18, AKTIV, KONKURRENCESVØMMER, JUNIOR
Maria Jensen, 1975-11-23, AKTIV, MOTIONIST, SENIOR
Hanne Nielsen, 1983-11-26, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Christensen, 1995-09-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Hanne Nielsen, 2010-08-22, AKTIV, KONKURRENCESVØMMER, JUNIOR
Marianne Jensen, 1978-11-06, AKTIV, KONKURRENCESVØMMER, SENIOR
Lene Larsen, 2000-07-31, PASSIV, MOTIONIST, SENIOR
Thomas Jørgensen, 1985-05-23, PASSIV, MOTIONIST, SENIOR
Anna Jørgensen, 1988-04-15, AKTIV, MOTIONIST, SENIOR
Anne Pedersen, 1991-09-29, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Rasmussen, 1990-09-13, PASSIV, MOTIONIST, SENIOR
Peter Jensen, 1994-08-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Christensen, 2006-05-13, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Christensen, 1971-12-08, PASSIV, MOTIONIST, SENIOR
Henrik Nielsen, 1983-09-11, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Hansen, 2000-04-12, AKTIV, MOTIONIST, SENIOR
Niels Pedersen, 1970-04-20, PASSIV, MOTIONIST, SENIOR
Maria Jensen, 1988-03-03, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Hansen, 2005-04-24, AKTIV, KONKURRENCESVØMMER, SENIOR
Lene Jørgensen, 2007-04-13, PASSIV, MOTIONIST, JUNIOR
Niels Rasmussen, 1993-06-20, AKTIV, MOTIONIST, SENIOR
Lene Andersen, 1991-11-18, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Pedersen, 1998-07-27, PASSIV, MOTIONIST, SENIOR
Jens Nielsen, 1972-05-06, PASSIV, KONKURRENCESVØMMER, SENIOR
Michael Andersen, 1982-07-03, PASSIV, KONKURRENCESVØMMER, SENIOR
Søren Hansen, 2004-11-17, PASSIV, MOTIONIST, SENIOR
Niels Larsen, 1978-03-11, PASSIV, MOTIONIST, SENIOR
Helle Jensen, 1997-04-24, PASSIV, MOTIONIST, SENIOR
Henrik Jensen, 2009-11-23, AKTIV, KONKURRENCESVØMMER, JUNIOR
Jens Larsen, 1994-07-30, AKTIV, MOTIONIST, SENIOR
Mette Hansen, 1999-09-17, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Nielsen, 1973-09-05, PASSIV, MOTIONIST, SENIOR
Marianne Nielsen, 1989-04-23, AKTIV, MOTIONIST, SENIOR
Jens Hansen, 1982-11-25, PASSIV, MOTIONIST, SENIOR
Jan Rasmussen, 2005-08-21, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Hansen, 2001-01-29, PASSIV, MOTIONIST, SENIOR
Susanne Larsen, 2010-04-07, AKTIV, MOTIONIST, JUNIOR
Lene Pedersen, 1977-12-14, AKTIV, KONKURRENCESVØMMER, SENIOR
Michael Rasmussen, 1971-12-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Michael Rasmussen, 1972-10-18, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Jensen, 1987-10-07, AKTIV, MOTIONIST, SENIOR
Christian Andersen, 1989-11-22, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Jørgensen, 1975-06-07, AKTIV, MOTIONIST, SENIOR
Niels Andersen, 1979-04-12, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Rasmussen, 1973-12-16, AKTIV, MOTIONIST, SENIOR
Maria Jensen, 1996-09-29, PASSIV, MOTIONIST, SENIOR
Kirsten Rasmussen, 1989-12-18, AKTIV, KONKURRENCESVØMMER, SENIOR
Jan Jensen, 1985-11-04, PASSIV, MOTIONIST, SENIOR
Hanne Jørgensen, 1974-01-21, AKTIV, MOTIONIST, SENIOR
Lene Sørensen, 1990-09-24, PASSIV, MOTIONIST, SENIOR
Michael Jørgensen, 2001-06-12, AKTIV, MOTIONIST, SENIOR
Anna Christensen, 1984-07-08, AKTIV, KONKURRENCESVØMMER, SENIOR
Helle Pedersen, 1974-09-03, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Jørgensen, 2013-09-17, AKTIV, KONKURRENCESVØMMER, JUNIOR
Mette Larsen, 1978-03-13, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Hansen, 2005-07-03, AKTIV, MOTIONIST, SENIOR
Anne Jørgensen, 1982-08-10, PASSIV, KONKURRENCESVØMMER, SENIOR
Niels Pedersen, 1972-01-05, AKTIV, MOTIONIST, SENIOR
Kirsten Jensen, 1986-09-15, AKTIV, MOTIONIST, SENIOR
Susanne Jørgensen, 2013-03-24, PASSIV, KONKURRENCESVØMMER, JUNIOR
Maria Jørgensen, 1979-01-02, PASSIV, MOTIONIST, SENIOR
Michael Nielsen, 1999-11-13, AKTIV, MOTIONIST, SENIOR
Lars Rasmussen, 1987-08-30, PASSIV, MOTIONIST, SENIOR
Anne Jensen, 1996-08-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Søren Hansen, 2007-05-31, AKTIV, MOTIONIST, JUNIOR
Susanne Andersen, 1973-10-14, PASSIV, MOTIONIST, SENIOR
Kirsten Christensen, 1988-04-12, AKTIV, KONKURRENCESVØMMER, SENIOR
Lars Christensen, 1980-09-29, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Jørgensen, 1996-05-29, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Andersen, 1971-01-24, PASSIV, MOTIONIST, SENIOR
Thomas Rasmussen, 1995-03-26, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Pedersen, 1997-06-22, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Jørgensen, 2009-08-15, AKTIV, MOTIONIST, JUNIOR
Niels Nielsen, 1985-01-03, PASSIV, MOTIONIST, SENIOR
Mette Andersen, 2010-12-10, PASSIV, MOTIONIST, JUNIOR
Marianne Hansen, 1980-10-11, AKTIV, MOTIONIST, SENIOR
Maria Hansen, 2009-04-10, PASSIV, KONKURRENCESVØMMER, JUNIOR
Maria Sørensen, 2009-08-28, AKTIV, MOTIONIST, JUNIOR
Anna Larsen, 1981-07-31, AKTIV, MOTIONIST, SENIOR
Lars Jørgensen, 1970-03-22, PASSIV, MOTIONIST, SENIOR
Lars Pedersen, 1987-08-03, AKTIV, KONKURRENCESVØMMER, SENIOR
Thomas Larsen, 1999-07-07, AKTIV, KONKURRENCESVØMMER, SENIOR
Mette Larsen, 1999-06-09, AKTIV, KONKURRENCESVØMMER, SENIOR
Marianne Pedersen, 2013-08-29, AKTIV, MOTIONIST, JUNIOR
Christian Christensen, 1992-05-19, PASSIV, MOTIONIST, SENIOR
Niels Andersen, 2007-06-04, AKTIV, KONKURRENCESVØMMER, JUNIOR
Thomas Hansen, 1980-06-30, AKTIV, KONKURRENCESVØMMER, SENIOR
Jan Rasmussen, 2005-06-07, AKTIV, MOTIONIST, SENIOR
Niels Larsen, 1999-05-04, AKTIV, KONKURRENCESVØMMER, SENIOR
Lene Jørgensen, 2007-11-08, AKTIV, MOTIONIST, JUNIOR
Michael Christensen, 1986-01-24, PASSIV, MOTIONIST, SENIOR
Anna Larsen, 2008-01-24, AKTIV, KONKURRENCESVØMMER, JUNIOR
Henrik Pedersen, 1980-09-29, AKTIV, KONKURRENCESVØMMER, SENIOR
Maria Jensen, 1972-02-12, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Pedersen, 1979-12-29, AKTIV, MOTIONIST, SENIOR
Helle Sørensen, 1975-02-22, PASSIV, MOTIONIST, SENIOR
Lars Andersen, 1978-08-29, PASSIV, KONKURRENCESVØMMER, SENIOR
Susanne Nielsen, 2002-09-11, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Jensen, 1993-03-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Larsen, 2000-06-05, AKTIV, KONKURRENCESVØMMER, SENIOR
Lars Hansen, 1982-11-18, PASSIV, MOTIONIST, SENIOR
Anna Rasmussen, 2012-12-22, PASSIV, MOTIONIST, JUNIOR
Anna Hansen, 1983-12-17, AKTIV, MOTIONIST, SENIOR
Jan Jørgensen, 2010-01-22, PASSIV, KONKURRENCESVØMMER, JUNIOR
Jens Jensen, 1972-07-14, AKTIV, MOTIONIST, SENIOR
Maria Sørensen, 1970-12-27, AKTIV, MOTIONIST, SENIOR
Søren Rasmussen, 1982-09-23, AKTIV, MOTIONIST, SENIOR
Henrik Rasmussen, 1991-04-13, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Hansen, 1985-08-06, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Jensen, 1970-09-15, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Pedersen, 2011-05-10, PASSIV, MOTIONIST, JUNIOR
Niels Andersen, 2006-10-22, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Christensen, 1973-11-02, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Larsen, 1991-07-30, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Christensen, 2007-03-15, AKTIV, KONKURRENCESVØMMER, JUNIOR
Anne Rasmussen, 1979-09-11, AKTIV, MOTIONIST, SENIOR
Søren Sørensen, 1988-12-27, AKTIV, KONKURRENCESVØMMER, SENIOR
Jan Andersen, 1974-11-07, PASSIV, MOTIONIST, SENIOR
Peter Andersen, 1985-07-12, PASSIV, MOTIONIST, SENIOR
Niels Pedersen, 1981-11-03, AKTIV, MOTIONIST, SENIOR
Hanne Pedersen, 1976-06-05, PASSIV, MOTIONIST, SENIOR
Peter Sørensen, 1988-06-25, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Christensen, 1982-09-04, PASSIV, MOTIONIST, SENIOR
Christian Nielsen, 1970-10-03, PASSIV, MOTIONIST, SENIOR
Lars Larsen, 1991-09-05, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Christensen, 1972-02-28, PASSIV, MOTIONIST, SENIOR
Susanne Larsen, 2006-12-10, PASSIV, KONKURRENCESVØMMER, SENIOR
Thomas Christensen, 1979-03-06, PASSIV, MOTIONIST, SENIOR
Kirsten Andersen, 2007-05-06, PASSIV, MOTIONIST, JUNIOR
Lars Christensen, 2011-02-25, PASSIV, MOTIONIST, JUNIOR
Thomas Larsen, 1999-07-23, AKTIV, KONKURRENCESVØMMER, SENIOR
Lars Hansen, 1993-03-30, PASSIV, MOTIONIST, SENIOR
Henrik Pedersen, 1970-04-01, AKTIV, MOTIONIST, SENIOR
Hanne Larsen, 1982-03-19, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Jensen, 1983-02-22, PASSIV, MOTIONIST, SENIOR
Niels Jørgensen, 1985-05-01, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Jørgensen, 1975-08-20, AKTIV, MOTIONIST, SENIOR
Helle Nielsen, 2000-01-31, PASSIV, MOTIONIST, SENIOR
Christian Andersen, 1976-03-02, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Sørensen, 1997-11-07, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Christensen, 2011-05-14, PASSIV, MOTIONIST, JUNIOR
Thomas Andersen, 2003-05-23, PASSIV, MOTIONIST, SENIOR
Anna Hansen, 1988-09-24, AKTIV, MOTIONIST, SENIOR
Peter Hansen, 2011-07-25, AKTIV, MOTIONIST, JUNIOR
Jan Christensen, 1980-02-23, AKTIV, MOTIONIST, SENIOR
Thomas Christensen, 1997-08-31, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Rasmussen, 1992-03-16, AKTIV, KONKURRENCESVØMMER, SENIOR
Christian Larsen, 1977-05-18, AKTIV, MOTIONIST, SENIOR
Hanne Jørgensen, 1996-01-13, AKTIV, KONKURRENCESVØMMER, SENIOR
Anne Andersen, 1997-05-11, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Pedersen, 1993-03-15, PASSIV, KONKURRENCESVØMMER, SENIOR
Jan Pedersen, 1982-10-16, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Larsen, 2004-04-01, AKTIV, KONKURRENCESVØMMER, SENIOR
Anna Larsen, 1994-01-09, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Christensen, 1995-10-19, AKTIV, MOTIONIST, SENIOR
Kirsten Andersen, 2003-10-22, PASSIV, MOTIONIST, SENIOR
Niels Pedersen, 1986-06-12, AKTIV, MOTIONIST, SENIOR
Jens Nielsen, 1978-10-07, PASSIV, KONKURRENCESVØMMER, SENIOR
Mette Sørensen, 1978-03-06, AKTIV, KONKURRENCESVØMMER, SENIOR
Lars Andersen, 1975-03-28, AKTIV, MOTIONIST, SENIOR
Helle Andersen, 1977-02-17, AKTIV, KONKURRENCESVØMMER, SENIOR
Hanne Nielsen, 1999-11-26, AKTIV, KONKURRENCESVØMMER, SENIOR
Mette Rasmussen, 2005-02-05, AKTIV, MOTIONIST, SENIOR
Thomas Christensen, 1974-01-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Pedersen, 1975-04-04, PASSIV, KONKURRENCESVØMMER, SENIOR
Christian Nielsen, 1999-12-22, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Nielsen, 1987-02-19, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Jørgensen, 1999-10-03, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Rasmussen, 1972-01-03, PASSIV, MOTIONIST, SENIOR
Henrik Christensen, 1987-10-15, PASSIV, MOTIONIST, SENIOR
Christian Rasmussen, 2013-09-29, PASSIV, KONKURRENCESVØMMER, JUNIOR
Niels Sørensen, 1980-03-22, AKTIV, MOTIONIST, SENIOR
Anna Nielsen, 1983-06-01, AKTIV, MOTIONIST, SENIOR
Mette Rasmussen, 1981-04-30, PASSIV, MOTIONIST, SENIOR
Helle Rasmussen, 2007-10-23, PASSIV, KONKURRENCESVØMMER, JUNIOR
Kirsten Sørensen, 1972-01-29, PASSIV, KONKURRENCESVØMMER, SENIOR
Søren Andersen, 1987-07-23, PASSIV, MOTIONIST, SENIOR
Susanne Christensen, 1985-05-18, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Sørensen, 1991-02-21, AKTIV, KONKURRENCESVØMMER, SENIOR
Michael Nielsen, 1990-08-09, AKTIV, KONKURRENCESVØMMER, SENIOR
Helle Nielsen, 1973-12-14, PASSIV, KONKURRENCESVØMMER, SENIOR
Henrik Larsen, 2004-09-09, PASSIV, MOTIONIST, SENIOR
Christian Jørgensen, 2003-08-10, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Jensen, 1986-11-27, AKTIV, MOTIONIST, SENIOR
Marianne Sørensen, 1976-11-13, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Nielsen, 2000-03-03, AKTIV, MOTIONIST, SENIOR
Anne Pedersen, 1988-09-17, AKTIV, KONKURRENCESVØMMER, SENIOR
Peter Sørensen, 1990-01-14, PASSIV, KONKURRENCESVØMMER, SENIOR
Jens Jensen, 1971-03-14, AKTIV, KONKURRENCESVØMMER, SENIOR
Henrik Larsen, 1992-08-28, PASSIV, MOTIONIST, SENIOR
Hanne Rasmussen, 1984-05-22, AKTIV, KONKURRENCESVØMMER, SENIOR
Niels Andersen, 2007-01-31, AKTIV, MOTIONIST, JUNIOR
Susanne Sørensen, 2007-07-20, PASSIV, KONKURRENCESVØMMER, JUNIOR
Anna Larsen, 2013-01-29, AKTIV, MOTIONIST, JUNIOR
Niels Jørgensen, 2003-08-14, PASSIV, MOTIONIST, SENIOR
Anna Hansen, 1987-04-16, AKTIV, MOTIONIST, SENIOR
Hanne Hansen, 1998-06-16, AKTIV, MOTIONIST, SENIOR
Jan Larsen, 1974-01-22, PASSIV, KONKURRENCESVØMMER, SENIOR
Lars Jørgensen, 1995-10-26, AKTIV, MOTIONIST, SENIOR
Jens Jørgensen, 1980-01-11, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Sørensen, 1973-09-27, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Pedersen, 1973-11-19, PASSIV, KONKURRENCESVØMMER, SENIOR
Helle Jørgensen, 1996-01-11, PASSIV, MOTIONIST, SENIOR
Helle Christensen, 1992-01-21, AKTIV, MOTIONIST, SENIOR
Lene Nielsen, 1971-06-27, PASSIV, MOTIONIST, SENIOR
Helle Jensen, 2006-08-23, PASSIV, MOTIONIST, SENIOR
Søren Larsen, 2008-06-30, PASSIV, KONKURRENCESVØMMER, JUNIOR
Lars Christensen, 1974-03-18, PASSIV, MOTIONIST, SENIOR
Anne Larsen, 1995-12-04, PASSIV, MOTIONIST, SENIOR
Christian Larsen, 2009-12-06, AKTIV, KONKURRENCESVØMMER, JUNIOR
Kirsten Jensen, 2000-12-28, PASSIV, MOTIONIST, SENIOR
Jan Nielsen, 1972-11-16, AKTIV, KONKURRENCESVØMMER, SENIOR
Mette Andersen, 1974-12-25, PASSIV, MOTIONIST, SENIOR
Christian Rasmussen, 1983-10-04, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Larsen, 1998-10-18, PASSIV, KONKURRENCESVØMMER, SENIOR
Kirsten Andersen, 1981-01-31, PASSIV, MOTIONIST, SENIOR
Mette Nielsen, 2003-09-30, PASSIV, MOTIONIST, SENIOR
Peter Rasmussen, 1995-02-14, PASSIV, KONKURRENCESVØMMER, SENIOR
Lene Pedersen, 1974-08-24, AKTIV, MOTIONIST, SENIOR
Marianne Nielsen, 2008-11-26, PASSIV, KONKURRENCESVØMMER, JUNIOR
Søren Andersen, 1988-12-24, PASSIV, MOTIONIST, SENIOR
Søren Sørensen, 1999-04-22, AKTIV, MOTIONIST, SENIOR
Thomas Hansen, 1971-03-07, AKTIV, KONKURRENCESVØMMER, SENIOR
Jens Hansen, 1981-08-01, AKTIV, MOTIONIST, SENIOR
Maria Jørgensen, 1971-07-04, AKTIV, MOTIONIST, SENIOR
Marianne Pedersen, 2001-08-04, AKTIV, KONKURRENCESVØMMER, SENIOR
Kirsten Andersen, 1986-09-01, AKTIV, KONKURRENCESVØMMER, SENIOR
Helle Rasmussen, 2001-02-03, PASSIV, KONKURRENCESVØMMER, SENIOR
Peter Pedersen, 2007-06-26, PASSIV, MOTIONIST, JUNIOR
Michael Nielsen, 1994-03-09, AKTIV, KONKURRENCESVØMMER, SENIOR
Susanne Hansen, 1976-08-11, PASSIV, MOTIONIST, SENIOR
Hanne Jensen, 1977-03-21, PASSIV, MOTIONIST, SENIOR
Jan Nielsen, 1990-07-22, PASSIV, KONKURRENCESVØMMER, SENIOR
Susanne Larsen, 1976-06-23, PASSIV, KONKURRENCESVØMMER, SENIOR
Anne Christensen, 2006-10-04, AKTIV, MOTIONIST, SENIOR
Henrik Rasmussen, 1986-03-06, AKTIV, KONKURRENCESVØMMER, SENIOR
Mette Larsen, 1998-07-01, PASSIV, MOTIONIST, SENIOR
